,source,postcode,house_is,property_subtype,rooms_number,area,equipped_kitchen_has,furnished,open_fire,terrace,terrace_area,garden,garden_area,land_surface,swimming_pool_has,region,building_state_agg,facades_number,price
1989,6,4000,HOUSE,HOUSE,7.0,5.703782474656201,True,False,False,True,0.0,True,3.912023005428146,5.568344503761097,False,W,to_renovate,3.0,395000.0
1990,6,1150,HOUSE,HOUSE,3.0,4.74493212836325,True,False,False,False,0.0,True,4.941642422609304,5.720311776607412,False,B,good,3.0,525000.0
1991,6,9999,HOUSE,MANSION,3.0,5.802118375377063,True,False,False,True,0.0,False,0.0,5.075173815233827,False,W,good,2.0,330000.0
1992,6,9999,HOUSE,HOUSE,4.0,5.351858133476067,True,False,False,True,3.6888794541139363,True,6.633318433280377,7.090076835776092,False,F,good,3.0,395000.0
1993,6,6230,HOUSE,HOUSE,4.0,5.075173815233827,True,False,False,True,3.6888794541139363,True,6.1092475827643655,6.29156913955832,False,W,good,3.0,249000.0
1994,6,1330,HOUSE,VILLA,3.0,4.962844630259907,True,False,False,True,3.4011973816621555,True,6.907755278982137,6.498282149476434,False,W,to_renovate,4.0,320000.0
1995,6,9999,HOUSE,HOUSE,4.0,5.37989735354046,True,False,False,True,0.0,False,0.0,6.579251212010101,False,F,good,3.0,475000.0
1996,6,1933,HOUSE,VILLA,4.0,5.318119993844216,True,False,False,True,2.302585092994046,True,5.298317366548036,6.018593214496234,False,F,good,4.0,595000.0
1997,6,9320,HOUSE,HOUSE,3.0,5.209486152841421,True,False,False,True,0.0,False,0.0,6.660575149839686,False,F,renovated,3.0,419000.0
1998,6,1410,HOUSE,VILLA,4.0,6.173786103901937,True,False,False,True,3.912023005428146,True,7.563200592358071,7.680637427560936,False,W,renovated,4.0,995000.0
1999,6,1850,HOUSE,VILLA,5.0,5.768320995793772,True,False,True,True,2.70805020110221,True,5.991464547107982,6.652863029353347,False,F,good,4.0,1095000.0
2000,6,9600,HOUSE,VILLA,3.0,5.241747015059643,True,False,True,True,3.4011973816621555,True,6.684611727667927,6.821107472256465,False,F,good,4.0,339500.0
2001,6,9999,HOUSE,VILLA,5.0,5.991464547107982,True,False,False,False,0.0,False,0.0,7.484368643286131,False,F,to_renovate,4.0,635000.0
2002,6,1082,HOUSE,HOUSE,6.0,5.3230099791384085,True,False,False,True,2.70805020110221,True,6.0112671744041615,6.542471960506805,False,B,good,3.0,680000.0
2003,6,1930,HOUSE,VILLA,4.0,5.54907608489522,True,False,True,True,3.58351893845611,True,6.678342114654332,6.866933284461882,False,F,good,4.0,685000.0
